Name,Mailing Street,City,State,Mailing Zip/Postal Code,"Number of Coats Needed"
Faneuil Tenant org inc.,55 faneuil st,brighton,Massachusetts,02135,250
For Kids Only Afterschool,194 Essex St For Kids Only Afterschool,Salem,Massachusetts,01970,200
Lawrence Fire Dept.,159 Weare St,Lawrence,Massachusetts,01843,40
Boston Children's Hospital Adolescent Medicine Clinic,333 Longwood Avenue LO 513,Boston,Massachusetts,02115,50
Lots of Love Trust,8 Apple House Road,Lakeville,Massachusetts,02347,50
Refugee and Immigrant Assistance center (RIAC),253 Roxbury street,Boston,Massachusetts,02119,30
Children's Services of Roxbury,520 Dudley st. second floor,Roxbury,Massachusetts,02119,75
Framingham Public Schools,75 Mt Wayte Ave,Framingham,Massachusetts,01702,75
Dimock Head Start,1800 Columbus Ave,Roxbury,Massachusetts,02169,200
Boys and Girls Clubs of Boston - YouthConnect,115 Warren St ATTN: YouthConnect,Roxbury,Massachusetts,02119,50
Davison Elementary and Middle,2800 E. Davison St,Detroit,Michigan,48212,200
Zion Hope Missionary Baptist Church,4800 Van Dyke,Detroit,Michigan,48214,200
Donelson (Cherise) Household,19376 Burt Rd,Detroit,Michigan,48219,100
Renaissance Head Start,16400 W Warren,Detroit,Michigan,48228,79
"Department of Health and Human Services, Child Welfare Division",26355 Michigan Ave,Inkster,Michigan,48141,200
I Am Church,24367 Brentwood drive,Brownstown Charter Township,Michigan,48183,40
"Department of Health and Human Services, Child Welfare Division",121 Franklin St SE,Grand Rapids,Michigan,49341,500
Conner Creek Academy East,16911 Eastland St.,Roseville,Michigan,48066,13
Woodland Park Academy,2083 E Grand Blanc Rd,Grand blanc,Michigan,48439,150
Hope of Detroit Academy,4444 35th street 4443 N. Campbell street,Detroit,Michigan,48210,150
Crayola Kidz,7682 Faust,Detroit,Michigan,48228,60
Beta Sole Foundation,1230 E Broomfield St. Suite 8,Mount Pleasant,Michigan,48858,70
Whitmore Lake Early Childhood Center,1077 Barker,Whitmore Lake,Michigan,48189,60
SOW A SEED YOUTH ORGANIZATION,22470 LEEWRIGHT 20159 VAN DYKE,SOUTHFIELD,Michigan,48033,100
Victims Assistance Program,4707 St. Antoine ?suite-167,Detroit,Michigan,48207,30
Pathway to Potential,Trix Academy 20045 Joann,Detroit,Michigan,48205,100
KBK Relief Foundation,23508 BONAIR ST,Dearborn Heights,Michigan,48127,100
Macomb County Head Start,21885 Dunham #10,Clinton Township,Michigan,48036,50
Grand Rapids Public Schools,1331 Franklin St SE,Grand Rapids,Michigan,49501,150
Macomb County Head Start,21885 Dunham Road Suite #10,Clinton Township,Michigan,48036,75
Eaton Academy gsrp,21450 universal Ave,eastpointe,Michigan,48021,32
MDHHS Pathways to Potential,2001 Martin Luther King Jr. Blvd.,Detroit,Michigan,48208,100
City Year Detroit,1 Ford Pl #1f,Detroit,Michigan,48202,700
Selflessly Helping Our People,2906 Richton Street Unit 2,Detroit,Michigan,48206,200
Grace Church of the Nazarene,18020 Hoover st,Detroit,Michigan,48205,400
Burton Glen Academy,4171 East Atherton Rd,Burton,Michigan,48519,50
Minges Brook Elementary,435 Lincoln Hill Drive,Battle Creek,Michigan,49015,100
Lansing Charter Academy,3300 Express Court,Lansing,Michigan,48910,460
state of michgan pathways to potential,14350 Terry st,Detroit,Michigan,48227,75
Voyageur Academy,4321 Military St,Detroit,Michigan,48210,100
Orchards Children Services Family Reunification,4651 Kehoe Rd,Clinton,Michigan,49236,30
Regent Park Scholars Charter Academy,15865 Seven Mile Road East,Detroit,Michigan,48205,50
Head Start Clinton Township MI,21885 Dunham Road Suite 10,Clinton Township,Michigan,48035,6
New Beginning Ministry Outreach,701 Hess Ave,Saginaw,Michigan,48601,200
Eastpointe Community Schools,24685 Kelly,Eastpointe,Michigan,48021,100
1981,7655 Fielding Street,Detroit,Michigan,48228,300
Berrien County Department of Health and Human Services,401 8th St,Benton Harbor,Michigan,49022,50
COTS,16630 Wyoming,Detroit,Michigan,48221,35
UP Kids,205 S. Front St. Ste. 2-A,Marquette,Michigan,49855,10
Kids Belong,15637 Comstock St,Grand Haven,Michigan,49417,509
Detroit Housing Commission Assisted Housing,2211 Orleans St.,Detroit,Michigan,48076,200
Chosen Generations Community Center,2326 East seven mile rd,Detroit,Michigan,48234,150
Fenton Center of Hope,"Fenton, MI. 48430",Fenton,Michigan,48430,500
Arab American & Chaldean Council,363 W. Big Beaver Rd.,Troy,Michigan,48084,390
JMR Crisis Center,20608 Piedmont Dr,CLINTON TOWNSHIP,Michigan,48036,75
Alkebulan village,7701 Harper,Detroit,Michigan,48213,55
Woodhaven Freewill Baptist Church,26191 Allen Road,Woodhaven,Michigan,48183,25
Saginaw Covenant Academy,508 South Washington Ave.,Saginaw,Michigan,48607,110
Wayne Metro Head Start Shear,26141 Schoolcraft,Redford,Michigan,48239,63
Stottlemyer Early Childhood Center,34801 Marquette St,Westland,Michigan,48185,25
Crossroads of Michigan,2424 W. Grand Blvd,Detroit,Michigan,48208,50
Rolland-Warner Middle School,3145 W Genesee St,Lapeer,Michigan,48446,30
City Year Detroit,14350 Terry St,Detroit,Michigan,48227,300
Agape Youth Empowerment,20493 Macarthur,Redford,Michigan,48240,50
South Canton Scholars,3085 South Canton Center Rd.,Canton,Michigan,48188,25
Wayne Metro Community Action Agency,27100 Bennett,Redford,Michigan,48240,300
"New St Paul Head Start, Metropolitan Center",16401 Plymouth,Detroit,Michigan,48227,60
Lansing Everett High School,3900 Stabler,Lansing,Michigan,48911,200
"Falswar Intl Charity, Inc.",9424 Evergreen Ave N,Brooklyn Park,Minnesota,55443,200
Circle of Life Academy,35233 Mission Road,White Earth,Minnesota,56591,100
Minneapolis Public Schools,1250 West Broadway Ave,Minneapolis,Minnesota,55411,500
CommonBond Communities,58 E Wood St,St. Paul,Minnesota,55107,40
Woman's Advocates,588 grand ave,St. paul,Minnesota,55102,30
Beacons School Success,5034 Oliver Avenue North,Minneapolis,Minnesota,55430,75
Prodeo Academy,620 Olson Memorial Highway,Minneapolis,Minnesota,55411,30
Independent School District 197/360 Communities,217 Moreland Ave W,West st. Paul,Minnesota,55118,25
Trio Wolf Creek Distance Learning Charter School,29678 Karmel Ave.,Chisago City,Minnesota,55013,20
Anderson United Community School,1098 Andersen Lane,Minneapolis,Minnesota,55422,500
Morrison County Social Services,213 SE First Avenue,Little Falls,Minnesota,56345,25
New Century School,1380 Energy Lane,St. Paul,Minnesota,55108,320
Girl Scouts of the South,109 Campbell Druve 207 Nortth Walker Cirlce,Indianola,Mississippi,38751,23
First Assembly of God,1048 S. Business Rt. 5,Camdenton,Missouri,65020,150
Chastity Gillespie Hope Center,1100 LA ROUX COURT,ST. LOUIS,Missouri,63137,100
Sickle Cell Team-The Costas Center @ Cardinal Glennon Children's Hospital,1465 South Grand Blvd The Costas Center,St. Louis,Missouri,63147,300
Grace Hill Settlement Head Start Program,2125 Bissell Street,St. Louis,Missouri,63107,150
MO Dept of Mental Health,"DMH, DD St. Louis Regional Office 119 Olympic Way",St. Peters,Missouri,63376,20
Raytown Quality Schools Spring Valley Ele.,8838 E 83rd St.,Raytown,Missouri,64138-3167____,100
STL YouthBuild,93 North Oaks Plaza,St. Louis,Missouri,63121,15
"Legal Services of Eastern Missouri, Inc.",4232 Forest Park Ave.,St. Louis,Missouri,63108,50
"Rotary Club of Mountain View, MO","306 Bay St, Mountain View, Missouri 65548",Birch Tree,Missouri,65438,40
"Virgies Place, inc.",406 Electric Street,Kennett,Missouri,63851,200
Gainesville Elementary School - R5 District,218 Bulldog Drive,Gainesville,Missouri,65655,18
Room at the Inn,3415 Bridgeland Drive,Bridgeton,Missouri,63044,25
Wakonda Elementary,4845 Curtis Ave,Omaha,Nebraska,68104,425
Region V Systems,1645 N Street,Lincoln,Nebraska,68508,100
Nebraska Family Support Network,3568 Dodge St. suite 2,Omaha,Nebraska,68131,50
Conestoga Elementary School,2115 Burdette Street,Omaha,Nebraska,68110,20
Ann T. Lynch ElementarySchool,4850 Kell Lane,Las Vegas,Nevada,89115,150
Battle Mountain Band Council Te-Moak Tribe Of Western Shoshone,37 Mountain View Drive,Battle Mountain,Nevada,89820,60
GARSIDE JUNIOR HIGH SCHOOL,300 S TORREY PINES DR.,Las Vegas,Nevada,89107,100
Southern New Hampshire Services,300 Youville St,Manchester,New Hampshire,03102,30
Salisbury Elementary school,6 Whittemore road,Salisbury,New Hampshire,03268,50
Circle Program,85 Main Street,Plymouth,New Hampshire,03264,10
Keene Head Start,63 community way,keene,New Hampshire,03431,51
George Washington Carver Primary School,135 Glenwood Avenue,East Orange,New Jersey,07017,400
Verity Outreach Worship Center,130 Carnation Drive,Deptford,New Jersey,08097,100
CAMcare Health Corporation,817 Federal Street,Camden,New Jersey,08104,500
YWCA Union County,Ste. 1,Kenilworth,New Jersey,07033,60
center for Family Services Head-start program,1475 s. 8th street,camden,New Jersey,08104,200
University Heights Charter School,74 Hartford Street,Newark,New Jersey,07103,350
Early Childhood Development Center,1602 Pine Street,Camden,New Jersey,08103,385
Mastery Upper Molina School,601 Vine Street,Camden,New Jersey,08102,100
SAFE HAVEN FAMILY LIFE CENTER,SHFLC c/o Sister Hamilton 1306 Mason Run,Pine Hill,New Jersey,08021,150
Iglesia Pentecostal Ciudad Fortificada,200 Livingston av,New Brunswick,New Jersey,08901,50
Kipp NJ,100 Aldine st,Newark,New Jersey,07112,100
Emma Arleth Elementary School PTO,c/o Arleth Elementary School 2198 Washington Road,Parlin,New Jersey,08859,100
Community Charter School of Paterson,75 Spruce St.,Paterson,New Jersey,07501,250
YALE,1000 Burton Ave,Northfield,New Jersey,08225,45
Rafael Hernandez School of Performing Arts,345 Broadway,newark,New Jersey,07104,500
Little Kids College,850 Cherry St,Trenton,New Jersey,08638,32
ACELERO learning NJ,331 grand avenue,Camden,New Jersey,08104,25
Stepping in The Right Direction,6 Rockland Drive,Willingboro Township,New Jersey,08046,100
People Do Care,1406 underhill court,Mays Landing,New Jersey,08330,25
Central Jersey Diaper Bank,222 Livingston Ave.,New Brunswick,New Jersey,08901,200
MCPK /Montclair Community Pre-K,49 orange rd.,montclair,New Jersey,07042,100
Kingdom Life Church,53 Pemberton Vincentown Rd,Pemberton,New Jersey,08068,200
East Ward Elementary,104 Oliver street,Newark,New Jersey,07105,300
Jehovah Jireh Outreach,Site Address: Sussex Avenue School: Att: Jehovah Jireh Outreach 307 Sussex Avenue,Newark,New Jersey,08837,150
West New York Board of Education,201 57th St,West New York,New Jersey,07093,25
Salem High School,219 Walnut Street,Salem,New Jersey,08079,50
Louise A. Spencer Elementary School,66 Muhammad Ali Avenue,Newark,New Jersey,07108,425
Hispanic Family Center of Southern New Jersey,21 Delaware Street,Woodbury,New Jersey,08096,100
Robert Fulton Annex,7111 Polk Street,North Bergen,New Jersey,07047,100
Center For Family Services,195 New Freedom Rd,Clementon,New Jersey,08021,20
Mount Vernon Ave Elementary School,54 Mount Vernon Avenue,Irvington,New Jersey,07111,100
Dudley Family School Camden,2250 Berwick street,Camden,New Jersey,08043,159
City of East Orange - Department of Health Human Services,"143 New Street, 2nd floor",East Orange,New Jersey,07017,100
Washington Avenue School,225 West Washington Avenue,Pleasantville,New Jersey,08232,50
Mount Vernon School,142 Mount Vernon Place,Newark,New Jersey,07106,500
"Metro East Community Care, LLC","Metro East Community Care, LLC Suite 206 B",West Orange,New Jersey,07052,250
Archway Programs at Cooper's Poynt,201 Cooper Street,Camden,New Jersey,08102,80
Second Baptist Church Outreach Ministries,112 Lupine Lane,Carneys Point Township,New Jersey,08069,60
"New Mexico Children, Youth & Families Department",1120 Paseo de Peralta,Santa Fe,New Mexico,87501,200
MY LITTLE SUNSHINE ACADEMY,476 57th Street NW 3209 De Vita RD SW,Albuquerque,New Mexico,87105,70
PS 35,261 east 163 street,Bronx,New York,10451,200
PHOENIX FIRE BIRDS,56 Davis st apt 6,Phoenix,New York,13135,10
PS36x,1070 Castle Hill Avenue,Bronx,New York,10465,600
Frank Chapman Memorial Institute Inc.,340 First Street,Albany,New York,12206,100
Partnership With Children,31 New York Ave 3rd floor rm 311,brooklyn,New York,11216,50
Public School 149,93-11 34th ave,Jackson Heights,New York,11372,50
FCBC Dream Center,1920 Adam Clayton blvd,Harlem,New York,10026,1200
PS 192M,500 w. 138th Street,new york,New York,10031,350
PS 154 Jonathan D. Hyatt,333 East 135th Street,Bronx,New York,10454,200
Escuela Hispana Montessori,New York,New York,New York,10002,130
PS 290,135 Schenck Avenue,Brooklyn,New York,11207,50
"PS/MS 5, The Port Morris School",564 Jackson Avenue,Bronx,New York,10455,400
Public School 97,Rm.163,Bronx,New York,10469,30
PS277,"519 St. Anns Avenue, Main Office",Bronx,New York,10455,100
Bethlehem Temple Church,PO Box 178,Monticello,New York,12701,25
West Prep Academy,150 W 105 Street,New York,New York,10025,100
P.S.115-The Daniel Mucatel School,1500 East 92 Street,Brooklyn,New York,11236,36
PS 95Q,179-01 90th Avenue,Jamaica,New York,11432,50
PS 33 Chelsea Prep,"P.S. 33, Chelsea Prep 281 Ninth Avenue",New York,New York,10001,70
P.S. 092,222 W 134th St,New York,New York,10032,40
Granville T. Woods PS 335,130 Rochester Avenue,Brooklyn,New York,11213,300
PS 152,1007 Evergreen Ave Room 129,Bronx,New York,10472,350
PS 67 / Partnership with Children,P.S. 067 CHARLES A. DORSEY 51 St Edwards St,Brooklyn,New York,11205,230
DELAWARE VALLEY JOB CORPS,9368 State Route 97 P.O. BOX 846,CALLICOON,New York,12723,100
Solid Rock Baptist Church,120 Tompkins Avenue,Brooklyn,New York,11206,100
The Breath of Life Seventh Day Adventist Church,1410 Clifford Ave,Rochester,New York,14609,30
Global Community Charter School,2350 5th ave,New York,New York,10037,445
PS 59 Annex,2120 Quarry Rd,Bronx,New York,10457,54
Healthy Families Morris Heights Health Center,2306 Walton Ave,Bronx,New York,10468,50
Arthur A. Schomburg Elementary School - PS 163x,2075 Webster Avenue,Bronx,New York,10457,100
I.S. 190,1550 Crotona Park East Room 504,Bronx,New York,10460,50
P.S 46 Arthur Tappan School,2875 Frederick Douglass Blvd,New york,New York,10039,400
M322,4600 Broadway Ave,New York,New York,10040,250
Staten Island Helping Hands,185 West Buchanan Street,New York,New York,10301,300
I.S. 61 Middle School,98-50 50th ave,Corona,New York,11368,50
"Lower East Side Service, Inc- Diversity Works Program",1932 Crotona Parkway,Bronx,New York,10460,90
Samara Community School,1550 VYSE AVE,BRONX,New York,10460,277
Kernan School Based Health Center,929 York Street,Utica,New York,13502,40
27Q197,825 Hicksville Road,Far Rockaway,New York,12691,540
Cayuga Centers,1229 Cantral Ave,Albany,New York,12205,20
Frederick Douglas Academy V Middle School,2111 Crotona Avenue,Bronx,New York,10457,250
Grand Street Settlement,207 Bushwick Ave,Brooklyn,New York,11206,250
Pro Youth Recreation and Family Center,683 Henderson Ave,Staten Island,New York,10310,50
Greater Central Baptist Church,2152 5th ave,New York,New York,10037,150
Step to End Family Violence,126 Stuyvesant Place,Staten Island,New York,10301,70
Teenage Parent Support Services,148 S. Fitzhugh Street,Rochester,New York,14608,75
PS/MS 105 The Bay School,420 Beach 51st Street,Far Rockaway,New York,11691,400
South Bronx Early College Academy,801 e 156 street,Bronx,New York,10455,100
Child Advocacy Center,163 South First Street,Fulton,New York,13069,15
Learning Through Play,535 Union Avenue,bronx,New York,10455,30
The Angelo Patri School,2190 Folin Street ENL- H Eberhart,Bronx,New York,10457,40
Heartshare Beacon of PS 288,P.S. / I.S. 288 Beacon Program 2950 West 25th Street,Brooklyn,New York,11224,80
Bronx Parent Housing Network,2346 Prospect Ave,Bronx,New York,10458,50
The Highbridge Green School,200 W 167th street,Bronx,New York,10452,200
New Horizon Counseling,PO BOX 239,East Meadow,New York,11554,20
PS19Q,PS 19Q 40-10 99th St,Corona,New York,11368,300
High Rollaz,216 Central Ave,WATERVLIET,New York,12189,100
Children's Rescue Fund,2430 Davidson Avenue Floor 2,Bronx,New York,10468,150
Adapt Community Network,175 Lawrence Ave,Brooklyn,New York,112,200
Riverside School for Makers and artists PS 191,300 west 61 St,New York,New York,10023,100
JOSEPH P. ADDABBO FAMILY HEALTH CENTER,120 RICHARD ST JOSEPH P ADDABBO FAMILY HEALTH CENTER,BROOKLYN,New York,11231,400
Turnpike Elementary,55 New Turnpike Road,Troy,New York,12182,100
P.S. 274,275 Harlem River park bridge The new American academy 274,Bronx,New York,10453,750
Genesee Valley Educational Partnership,30 Bonadonna Ave,Mount Morris,New York,14510,25
Neighborhood Defender Services,317 Lenox Ave,New York,New York,10027,50
Mt Moriah Pentecostal Church of God inc,238 Rochester Avenue,Brooklyn,New York,11213,30
The Sheridan Academy for Young Leaders,1116 Sheridan Avenue Room 201,Bronx,New York,10456,550
Bethany Baptist Church,304 West 154th Street,New York,New York,10039,75
Pathways to Graduation,162-02 Hillside Avenue,Jamaica,New York,11432,150
Health and Hospitals Elmhurst,78-20 41st ave,Elmhurst,New York,11373,100
"First Shiloh Youth Foundation, Inc.",15 Pine Street,Buffalo,New York,14204,150
St. Lawrence County People Project,516 Greene St,Ogdensburg,New York,13669,250
New York Disaster Interfaith Service,4 W. 43rd Street Suite 407,New York,New York,10036,100
Childrens Community Services,38-05 hunters point ave Room 118,Long island city,New York,11101,600
P723X,516 East Tremont School entrance (3rd Avenue ),Bronx,New York,10457,80
The East Harlem School at Exodus House,309 E. 103rd Street,New York,New York,10029,150
Children's Community Services,76-01 Queens Blvd Elmhurst Ny,New York,New York,11373,300
10X059- The Community School of Technology,2185 Bathgate Avenue room 302A,Bronx,New York,10457,75
Sodus PTO,59 Orchard Terrace,Sodus,New York,14551,100
The Bridge,72 West 125th Street lower level,New York,New York,10027,68
University Settlement Society Of New York; Children's Corner Child Development Center,565 Livonia Avenue,Brooklyn,New York,11207,100
MS/HS 223 Public School,360 E. 145th St. Rm 221,Bronx,New York,10454,200
1St Way Life Center,"481 Broadway Ste 3, Monticello, New York 12701",Monticello,New York,12701,50
Students In Temporary Housing,360 E 168 St Annex Building Rm 36,Bronx,New York,10456,250
PS 212,118 Tinton ave 2nd floor,Bronx,New York,10456,150
Sunnyside Community Services,"37-02 47th Avenue, room 212",Long Island City,New York,11101,25
Vibrant,29-46 Northern Boulevard 2 Floor,Long Island City,New York,11101,30
P.S. 11 Highbridge,1257 Ogden Avenue Suite 202A,Bronx,New York,10456,120
Intermediate School 77 - Middle,976 Seneca Ave,Ridgewood,New York,11385,100
PS 13 The Clement C. Moore School,94-19 56th Avenue,Elmhurst,New York,11358,150
Medgar Evers College,1150 Carroll Street Suite C221,Brooklyn,New York,11225,100
Counseling In schools,240 E 172 ST Room 253,Bronx,New York,10457,30
PathStone Corporation,1 Industrial Drive,Middletown,New York,10940,12
Forgiveness Assembly Youths Organization,115-38 Sutphin Blvd,Jamaica,New York,11434,200
PS 73 Parent Association,1020 Anderson Avenue,Bronx,New York,10452,250
PS 69 Journey Prep,560 Thieriot Ave.,Bronx,New York,10473,610
NYPD/SSD,40 Irving Place Room 114,New York,New York,10003,300
The Cathedral at The Gathering Place,49 West Avenue 190 Murray Street,Rochester,New York,14611,50
P.S. 145 The Bloomingdale School,150 W 105th Street,New York,New York,10025,60
Jacobi Medical Ctr- Virology/ Pediatric Infectious Disease,1400 Pelham Pkwy So Rm 1W5,Bronx,New York,10461,100
Prayer Misson Church of Christ Disciples Of Christ,56 Lott Avenue,Brooklyn,New York,11561,150
PS65Q,103-22 99th Street,Ozone Park,New York,11417,200
Sunset Park School,1221 East 35 Street,Brooklyn,New York,11210,100
NYC Department of Education Office of Community Schools,"One Fordham Plaza 8th Floor, Rm 816",Bronx,New York,10458,200
51 Junius St Shelter,51 Junius St,Brooklyn,New York,11212,100
Families in need,295 Sheridan ave,albany,New York,12206,150
Franklin D. Roosevelt HS,5800 20th avenue,Brooklyn,New York,11204,50
P.S. 189 The Bilingual Center,1100 East New York Avenue,Brooklyn,New York,11212,100
"Matthew 25:35-36 Ministries,Inc",1363 US Hwy 17 South,Elizabeth City,North Carolina,27909,500
Dallas-High Shoals Christian Ministry,449 LORAY FARM RD,Dallas,North Carolina,28034,125
Helping the kids in nc,85 cline rd,Bryson city,North Carolina,28713,20
Governors' Village STEM Academy,7910 Neal Rd,Charlotte,North Carolina,28262,125
sharon elementary,880 Sharon School Rd,Statesville,North Carolina,28625,30
Orange County Early Head Start,800 Eastowne Drive Suite 105,Chapel Hill,North Carolina,27514,150
"Charlotte Firefighters' Association, IAFF Local 660",500 Dalton Ave,Charlotte,North Carolina,28206,100
Public Schools of Robeson County,4320 Kahn Dr.,Lumberton,North Carolina,28358,500
Naomi Group,13 Charlotte street,Cameron,North Carolina,28326,250
Ensemble Health Partners,13620 Reese Blv suite 200,Huntersville,North Carolina,28078,20
Durham Head Start/Durham Early Head Start,908 Liberty St.,Durham,North Carolina,27701,483
WAGES,601 Royall Avenue,Goldsboro,North Carolina,27534,690
Christian outreach,417 west Main Street,Mooresboro,North Carolina,28114,28
JW Grier Academy,8330 Grier Road,Charlotte,North Carolina,28215,25
Durham Head Start/Durham Early Head Start,1201 S. Briggs Ave Suite 110,Durham,North Carolina,27703,140
A NEW DAY OUTREACH CENTER,1530 EVANS STREET SUITE 206,GREENVILLE,North Carolina,27834,100
Mt Carmel Helps,2586 onslow dr,Jacksonville,North Carolina,28546,2000
Love Thy Neighbor Community Outreach,423 Estate Rd,Wilmington,North Carolina,28405,25
Indian Mission Church of God,316 7th st.,New Town,North Dakota,58763,30
Halifax Regional Center for Education,22 Glencoe Drive,Dartmouth,Nova Scotia,B2X1J1,40
Mad River Local Schools,1363 Backridge Ct,Beavercreek,Ohio,45434,100
God?s Hands At Work,68 Keystone Road,Vinton,Ohio,45686,50
Epiphany Lutheran Church Pantry,6430 Far Hills Avenue,Centerville,Ohio,45459,500
New Lexington Elementary,2550 Panther Drive,New Lexington,Ohio,43764,250
Martin Luther King Center Kitchen for the Poor,2163 Green Valley Drive,Toledo,Ohio,43614,250
Needs Cleveland,7630 Lorain Ave,Cleveland,Ohio,44102,50
614 Youth Prevention Foundation Inc,3915 E. Fulton St,Columbus,Ohio,43227,300
Bridge Gate Elementary School,3850 Sullivant Ave.,Columbus,Ohio,43228,200
RLB Ministries/Backpack Buddies,1632 State Route 141,Ironton,Ohio,45638,350
Euclid Park School,17914 Euclid Ave,Cleveland,Ohio,44112,75
Moses Free Spirit Street Ministry,9319 Union,Cleveland,Ohio,44104,100
Northland Prep and Fitness Academy,2200 Winslow Dr,Columbus,Ohio,43207,227
Ohio Heartland CAC Head Start,372 E. Center St,Marion,Ohio,43302,100
Church of God and Saints of Christ,15008 Naples Ave Cleveland Ohio 44128 9313 Cliff Springs Trial Columbus Ohio 43240,Cleveland,Ohio,44128,100
Highland Elementary School,40 S Highland Ave,Columbus,Ohio,43223,150
Horizon Science Academy Dayton Elementary,4751 Sue Ann Blvd,Dayton,Ohio,45415,161
Ohio Construction Academy 9-12,Ohio Construction Academy 1725 Jetway Blvd.,Columbus,Ohio,43219,35
SunBridge Schools,1850 Airport Highway,Toledo,Ohio,43609,50
North Dayton School of Discovery,3901 Turner Rd,Dayton,Ohio,45424,300
Alfred A. Benesch School,5393 Quincy Ave,Cleveland,Ohio,44104,100
American Legion Auxiliary,643 E 117th St,Cleveland,Ohio,44108,200
"Humility of Mary Housing, Inc.",516 Franklin Avenue,Barberton,Ohio,44203,20
Horizon Science Academy Columbus,1070 Morse Rd,Columbus,Ohio,43229,502
CBI Middletown,800 Lafayette Ave,Middletown,Ohio,45044,100
Famicos Foundation,1325 Ansel Road,Cleveland,Ohio,44106,135
Ymca Head Start,3500 First ave,Grove City,Ohio,43123,600
from one mother to another,10114 burton ave,bratenahl,Ohio,44108,250
Rees E. Price Academy,1228 Considine Avenue,Cincinnati,Ohio,45204,300
Summit Academy Community School,1660 Sternblock Lane,Cincinnati,Ohio,45237,25
Constellation Schools: Stockyard Community,3200 W. 65th Street,Cleveland,Ohio,44102,100
WInton Hills Educational Center,4657 Kings Run Dr,Cincinnati,Ohio,45232,54
A Renewed Mind,A Renewed Mind 5164 Monroe Street,Toledo,Ohio,43623,200
St. Timothy's Episcopal Church,871 E. Boundary St.,Perrysburg,Ohio,43551,50
Backpack Buddies,410 W. 7th Street,McDonald,Ohio,44437,60
Hitchcock center for women,1227 Ansel road,cleveland,Ohio,44188,20
Boys & Girls Clubs of Lorain County,4111 Pearl Ave.,Lorain,Ohio,44055,500
North Union Local SD,12920 State Route 739,Richwood,Ohio,43344,40
Empowerment Church,15837 Euclid Ave,East Cleveland,Ohio,44112,100
Beacon Elementary Hilliard,Beacon Elementary 3600 Lacon Road,Hilliard,Ohio,43026,200
Sharks Inc,92 E 219,Euclid,Ohio,44123,40
Copley Road Community Center,775 Copley Rd,Akron,Ohio,44320,100
Stark County Community Action Agency,3015 Mahoning Ave. NE,Canton,Ohio,44705,627
Millennuim Commuity school,3500 Refguee Rd,Columbus,Ohio,43232,575
Marion C. Seltzer,1468 W. 98th Street,Cleveland,Ohio,44102,435
St Philip Episcopal Church,3275 PineValley Rd,Columbus,Ohio,43219,13
Child Development Council of Franklin County,999 Crupper Ave,Columbus,Ohio,43229,200
After School All Stars,1500 N.Superior St. Suite 310,Toledo,Ohio,43604,200
bee my baby too,14321 Detroit Ave,Lakewood,Ohio,44107,25
Stark Metropolitan Housing Authority,400 Tuscarawas St. East,Canton,Ohio,44702,100
Horizon Science Academy,6100 S Marginal Rd,Cleveland,Ohio,44103,350
COLUMBUS STATE SCHOLAR NETWORK (CSSN),550 East Spring Street Franklin Hall 223,Columbus,Ohio,43215,30
McCall Consulting & Associates Inc.,12915 St. Clair Avenue,Cleveland,Ohio,44108,120
Constellation Schools Eastside Arts Academy,6700 Lansing,Cleveland,Ohio,44105,150
Project Rise Akron Public Schools,10 North Main Street,Akron,Ohio,44308,1000
Mae's Little Angels Enrichment Center,14045 Puritas Ave,Cleveland,Ohio,44135,80
Eagle Elementary,1338 Virginia Ave,Akron,Ohio,44306,50
Community of Caring Development Foundation,2830 Cleveland Ave,Columbus,Ohio,43224,200
Famicos Foundation,8555 Hough Ave,Cleveland,Ohio,44106,125
Eastside Community Ministry,221 Stillwell Street P.O. Box 965,Zanesville,Ohio,43702-0965,100
Building Bridges Mentoring Group,1100 10th St NW,Canton,Ohio,44707,25
Second New Hope Baptist Church,2917 East 116th Street,Cleveland,Ohio,44120,40
City of Toledo's Mayor's Office,One Government Center Suite 2200,Toledo,Ohio,43604,200
Garrett Morgan High School,4016 Woodbine Avenue,Cleveland,Ohio,44113,200
Susie's Coats,103 Aspen Circle,Woodville,Ohio,43469,300
Invictus High School,Invictus High School 3122 Euclid Ave,Cleveland,Ohio,44115,5
Louise Troy Elem-Dayton Public School,1630 Miami Chapel Rd,Dayton,Ohio,45417,40
Greene County Family and Children First,158 East Main St.,Xenia,Ohio,45385,3
Fair Play,344 Gail Ave NE,Massillon,Ohio,44646,60
Mom's House Toledo,2505 Franklin Ave,Toledo,Ohio,43610,50
"City of Zion, the Mt. Zion Church, Inc.","701 Vance St 4760 Meadow Rue Toledo, OH 43614",Toledo,Ohio,43604,300
Cornerstone Church,1520 Reynolds Road Cornerstone Church,Maumee,Ohio,43537,400
St. Philip Evangelical Lutheran Church,1506 East Long Street,Columbus,Ohio,43203,13
The Brightside Project,623 Washington Street,Salem,Ohio,44460,200
Jalamppa Ministeries,1 Hawthorne ct.,Steubenville,Ohio,43952,50
Olive Public Schools,9352 S 436 w ave,drumright,Oklahoma,74030,300
Sisters With Heart,2012 Hardin dr,Oklahoma city,Oklahoma,73111,70
Tulsa Housing Authority,1624 E Virgin St Seminole Hills Community Center,Tulsa,Oklahoma,74106,100
College Bound Academy,2525 S 101st East Ave,Tulsa,Oklahoma,74146,15
